"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         199,      -6.329996259,      -6.841256196,      -6.833017019,      -5.780122799
          0,           0,         200,       -6.33731133,      -6.843422796,      -6.837827555,      -5.787048987
          0,           0,         201,      -6.344681981,      -6.845091981,      -6.843501183,       -5.79399881
          0,           0,         202,      -6.352020165,      -6.846450179,      -6.850102128,      -5.800901486
          0,           0,         203,       -6.35923471,      -6.847668668,      -6.857683772,      -5.807685272
          0,           0,         204,      -6.366268377,      -6.848925273,      -6.866127514,      -5.814310635
          0,           0,         205,        -6.3730752,      -6.850407914,      -6.875452331,      -5.820741447
          0,           0,         206,      -6.379606309,      -6.852303957,      -6.885771431,      -5.826936185
          0,           0,         207,      -6.385818284,      -6.854766699,      -6.896969815,      -5.832862113
          0,           0,         208,      -6.391740101,      -6.857931174,      -6.908710057,       -5.83855445
          0,           0,         209,      -6.397413603,      -6.861875002,      -6.920665002,       -5.84404916
          0,           0,         210,      -6.402905371,      -6.866636316,      -6.932546973,      -5.849404425
          0,           0,         211,      -6.408321011,       -6.87225187,      -6.944178149,      -5.854717957
          0,           0,         212,      -6.413776496,      -6.878739282,      -6.955362782,      -5.860098446
          0,           0,         213,      -6.419375559,      -6.886092185,       -6.96576327,      -5.865638754
          0,           0,         214,      -6.425235974,      -6.894265552,      -6.975306904,      -5.871446982
          0,           0,         215,      -6.431482585,      -6.903217206,      -6.983962131,      -5.877642871
          0,           0,         216,      -6.438215912,       -6.91291034,      -6.991912196,      -5.884320069
          0,           0,         217,      -6.445542853,      -6.923303282,      -6.999212636,      -5.891580122
          0,           0,         218,      -6.453558873,      -6.934337755,      -7.006077042,      -5.899514546
          0,           0,         219,      -6.462329251,      -6.945948815,      -7.012668337,      -5.908190458
          0,           0,         220,      -6.471902723,      -6.958076609,      -7.019228106,      -5.917659189
          0,           0,         221,      -6.482307678,      -6.970662492,       -7.02602152,      -5.927944763
          0,           0,         222,      -6.493557872,      -6.983672871,      -7.033696281,      -5.939067653
          0,           0,         223,      -6.505648551,      -6.997097946,      -7.042353723,      -5.951036495
          0,           0,         224,      -6.518547511,      -7.010916307,      -7.051938317,      -5.963825105
          0,           0,         225,      -6.532205504,      -7.025096945,      -7.062524967,      -5.977385676
          0,           0,         226,       -6.54658852,       -7.03963882,       -7.07427257,      -5.991692612
          0,           0,         227,      -6.561628946,      -7.054563335,      -7.087274678,      -6.006687105
          0,           0,         228,      -6.577240425,      -7.069904907,      -7.101544873,      -6.022288219
          0,           0,         229,      -6.593328019,      -7.085695539,      -7.116996594,       -6.03840611
          0,           0,         230,      -6.609792817,      -7.101972871,       -7.13351421,      -6.054948638
          0,           0,         231,      -6.626540393,      -7.118789612,      -7.150948495,      -6.071831024
          0,           0,         232,      -6.643478897,      -7.136199763,      -7.169051797,       -6.08896307
          0,           0,         233,      -6.660522053,      -7.154253798,       -7.18767194,      -6.106255228
          0,           0,         234,       -6.67757444,      -7.172993277,      -7.206584034,      -6.123609624
          0,           0,         235,      -6.694543729,      -7.192438773,      -7.225571316,      -6.140929997
          0,           0,         236,      -6.711378436,      -7.212589121,      -7.244331938,      -6.158165062
          0,           0,         237,      -6.727993722,      -7.233376068,      -7.262380651,       -6.17521747
          0,           0,         238,      -6.744358311,      -7.254729153,       -7.27959003,      -6.192041371
          0,           0,         239,       -6.76043087,       -7.27657226,      -7.295902221,       -6.20858252
          0,           0,         240,       -6.77621235,      -7.298831149,      -7.311223932,      -6.224832816
