"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         105,      -6.232888692,      -6.094379092,      -6.410215189,      -6.169906763,      -5.646985464,      -8.285225757
          0,           0,         106,      -6.246698718,      -6.106157007,       -6.41368117,      -6.185788612,      -5.659961553,      -8.277435076
          0,           0,         107,      -6.254678533,      -6.107166405,      -6.420563096,      -6.184984105,       -5.66782726,      -8.269830913
          0,           0,         108,      -6.248123935,      -6.089381759,      -6.412958508,      -6.181381792,      -5.659923643,       -8.26264693
          0,           0,         109,      -6.237046229,      -6.061812783,      -6.400076597,      -6.177238088,      -5.648107139,      -8.256110035
          0,           0,         110,      -6.230678912,      -6.072206794,      -6.400211723,      -6.188792998,      -5.642841375,      -8.250336979
          0,           0,         111,      -6.254129755,       -6.10243169,       -6.40071642,      -6.181220738,      -5.666340121,      -8.245188744
          0,           0,         112,      -6.233589985,      -6.088914826,      -6.391772476,      -6.159356579,      -5.644535217,      -8.240375346
          0,           0,         113,      -6.226931094,      -6.088519924,      -6.387052059,      -6.158291965,      -5.637400257,      -8.235478993
          0,           0,         114,      -6.231735775,      -6.092413547,      -6.390502236,      -6.153452869,      -5.642420401,       -8.23016239
          0,           0,         115,      -6.229413274,      -6.087925507,      -6.387494859,      -6.162412812,      -5.641513406,       -8.22425915
          0,           0,         116,      -6.235486162,       -6.09132813,      -6.387362204,      -6.163428598,      -5.648553823,      -8.217863565
          0,           0,         117,      -6.232267716,      -6.092128365,      -6.383353914,      -6.165256937,      -5.644919714,      -8.211173188
          0,           0,         118,      -6.235589808,      -6.095737586,      -6.385354025,      -6.176457931,      -5.647844336,      -8.204623414
          0,           0,         119,      -6.245026603,      -6.101791627,      -6.392021451,      -6.180626801,      -5.656655197,      -8.198419552
          0,           0,         120,      -6.251057884,      -6.098093442,      -6.400046499,      -6.190126628,      -5.662277305,      -8.191939249
          0,           0,         121,      -6.259445315,      -6.103135215,      -6.406154413,      -6.186718591,      -5.670385824,      -8.186337916
          0,           0,         122,      -6.255492747,      -6.099100263,      -6.401321869,      -6.185441469,      -5.665337942,      -8.181548242
          0,           0,         123,       -6.25943076,      -6.096322399,       -6.39684446,      -6.192096388,      -5.670197815,      -8.177295382
          0,           0,         124,      -6.247726504,      -6.084164368,      -6.394268439,      -6.187937155,      -5.658268937,      -8.173245037
          0,           0,         125,      -6.243008922,      -6.081362831,      -6.396034602,      -6.190200752,      -5.653229827,      -8.168978978
          0,           0,         126,      -6.249370736,      -6.087800727,      -6.404296074,      -6.183264662,      -5.658889758,      -8.164238466
          0,           0,         127,       -6.26067862,      -6.095002477,      -6.413788608,      -6.197402424,      -5.669769988,      -8.159071314
          0,           0,         128,      -6.277658258,      -6.109278526,      -6.417321663,      -6.197981797,      -5.686436705,      -8.153703941
          0,           0,         129,      -6.286874817,      -6.114441625,      -6.419439298,      -6.214048647,      -5.694964654,       -8.14849015
          0,           0,         130,      -6.298406007,       -6.11757984,       -6.42910842,      -6.212310944,      -5.704531377,      -8.143772146
          0,           0,         131,      -6.289354679,      -6.111925841,      -6.428974371,      -6.211392807,      -5.694238154,      -8.139777943
          0,           0,         132,      -6.292886237,      -6.114059103,      -6.434959021,       -6.20802632,      -5.697714612,      -8.136470796
          0,           0,         133,      -6.298223762,      -6.117225736,      -6.436724682,      -6.208948053,      -5.702553749,      -8.133622661
          0,           0,         134,      -6.308925232,      -6.123825098,      -6.440846162,      -6.229183856,      -5.713538514,       -8.13083188
          0,           0,         135,      -6.325095463,      -6.132404055,      -6.448838154,       -6.23753777,      -5.730051161,      -8.127867729
          0,           0,         136,      -6.325310507,      -6.126849339,      -6.455598608,      -6.251875418,      -5.729818168,      -8.124822151
          0,           0,         137,       -6.33292283,      -6.134192365,      -6.464900542,      -6.244547234,      -5.736514286,      -8.121915244
          0,           0,         138,      -6.324026569,      -6.135668392,       -6.46761157,      -6.236968087,      -5.726060078,      -8.119339116
          0,           0,         139,      -6.336207746,      -6.146711769,      -6.474488959,      -6.257968339,      -5.738877658,      -8.117043996
          0,           0,         140,      -6.341410177,      -6.151152501,      -6.480190262,      -6.267368681,      -5.745524443,      -8.114861293
          0,           0,         141,      -6.350640115,      -6.161926001,       -6.48328689,      -6.282265803,      -5.755650458,      -8.112589674
