Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
68,0.287502,0,0.81081,-0,5.98409e-08,0,0,0,0,0,0,0.581556,0.973088,0.0147642,1.13372,0.324324,-1.37838,0.00268739,-0.000744374,0.000563194,0.00284488,1.11303,0,0,0,0,7.64272
69,0.294538,0,0.828349,-0,5.97152e-08,0,0,0,0,0,0,0.588655,0.973088,0.0158993,1.13739,0.33134,-1.36435,0.00267503,-0.000681926,0.000465841,0.00279961,1.10994,0,0,0,0,7.81939
70,0.965807,0,2.77286,-0,6.06528e-08,0,0,0,0,0,0,0.588655,0.973088,-0.0158993,1.13739,1.10914,0.191254,0.00138403,9.31675e-05,-0.000199527,0.00140143,1.1331,0,0,0,0,9.86523
71,0.973193,0,2.79491,-0,6.06667e-08,0,0,0,0,0,0,0.581556,0.973088,-0.0147642,1.13372,1.11796,0.208895,0.00143305,0.00010189,-0.000245829,0.00145754,1.13344,0,0,0,0,9.92782
72,0.985414,0,2.83204,-0,6.06995e-08,0,0,0,0,0,0,0.575451,0.973088,-0.0135319,1.13059,1.13282,0.238602,0.00147475,0.00011334,-0.000353005,0.00152064,1.13425,0,0,0,0,9.96224
73,1.02772,0,2.95613,-0,6.07383e-08,0,0,0,0,0,0,0.570362,0.973088,-0.011956,1.12799,1.18245,0.337871,0.00147032,0.000189734,-0.000533674,0.00157564,1.13522,0,0,0,0,10.1206
74,1.10078,0,3.16949,-0,6.07846e-08,0,0,0,0,0,0,0.566318,0.973088,-0.0099458,1.12593,1.26779,0.508556,0.00130385,0.000380137,-0.000665122,0.00151225,1.13637,0,0,0,0,10.1392
75,1.17648,0,3.3915,-0,6.08392e-08,0,0,0,0,0,0,0.563297,0.973088,-0.00761853,1.12439,1.3566,0.686168,0.000939408,0.000614223,-0.000549518,0.00124969,1.13773,0,0,0,0,9.56568
76,1.22507,0,3.53407,-0,6.08713e-08,0,0,0,0,0,0,0.561202,0.973088,-0.00513762,1.12333,1.41363,0.800225,0.000567373,0.000790785,-0.000168166,0.000987691,1.13853,0,0,0,0,8.83899
77,1.21661,0,3.50955,-0,6.087e-08,0,0,0,0,0,0,0.559949,0.973088,-0.00258784,1.1227,1.40382,0.780612,0.000379124,0.00089889,0.000422964,0.00106331,1.13849,0,0,0,0,9.22353
78,1.13154,0,3.26147,-0,6.08323e-08,0,0,0,0,0,0,0.559526,0.973088,0,1.12248,1.30459,0.582144,0.000681995,0.00118608,0.0015967,0.0021027,1.13755,0,0,0,0,6.66993
79,0.993691,0,2.8565,-0,6.07102e-08,0,0,0,0,0,0,0.559949,0.973088,0.00258784,1.1227,1.1426,0.258169,0.000878763,0.000583198,0.00166572,0.00197154,1.13452,0,0,0,0,11.3805
80,0.825918,0,2.36538,-0,6.05401e-08,0,0,0,0,0,0,0.561202,0.973088,0.00513762,1.12333,0.946151,-0.13473,0.00141668,0.000214231,0.00194376,0.00241476,1.1303,0,0,0,0,11.4102
81,0.657314,0,1.87551,-0,6.03704e-08,0,0,0,0,0,0,0.563297,0.973088,0.00761853,1.12439,0.750203,-0.526626,0.0020576,-0.00017355,0.00202792,0.00289419,1.1261,0,0,0,0,10.9654
82,0.503848,0,1.4325,-0,6.0208e-08,0,0,0,0,0,0,0.566318,0.973088,0.0099458,1.12593,0.573,-0.881033,0.00266392,-0.000550344,0.00183179,0.00327945,1.12208,0,0,0,0,10.1983
83,0.382574,0,1.08459,-0,6.0078e-08,0,0,0,0,0,0,0.570362,0.973088,0.011956,1.12799,0.433838,-1.15936,0.00292059,-0.000782974,0.00132702,0.00330211,1.11887,0,0,0,0,9.03735
84,0.310668,0,0.878614,-0,5.99684e-08,0,0,0,0,0,0,0.575451,0.973088,0.0135319,1.13059,0.351446,-1.32414,0.00280122,-0.000804813,0.000823189,0.00302856,1.11617,0,0,0,0,7.99031
85,0.850321,0,2.43477,-0,6.05307e-08,0,0,0,0,0,0,0.681744,0.973088,-0.0237851,1.18838,0.973908,-0.0792156,0.0013587,7.37414e-06,-5.85765e-05,0.00135999,1.13007,0,0,0,0,9.72892
86,0.863284,0,2.47263,-0,6.05444e-08,0,0,0,0,0,0,0.666821,0.973088,-0.0230682,1.17987,0.989051,-0.0489304,0.00135841,1.15158e-05,-7.12384e-05,0.00136033,1.13041,0,0,0,0,9.75644
87,0.876352,0,2.51078,-0,6.05575e-08,0,0,0,0,0,0,0.652734,0.973088,-0.0222539,1.17195,1.00431,-0.0184094,0.00136178,1.64888e-05,-8.5042e-05,0.00136453,1.13073,0,0,0,0,9.78963
88,0.80115,0,2.29103,-0,6.04722e-08,0,0,0,0,0,0,0.748133,0.973088,-0.0253837,1.2277,0.916412,-0.194207,0.00138227,-6.01577e-07,-5.63147e-06,0.00138229,1.12862,0,0,0,0,9.64848
89,0.812222,0,2.32336,-0,6.04853e-08,0,0,0,0,0,0,0.730717,0.973088,-0.0252155,1.21716,0.929345,-0.168342,0.00137912,-6.68325e-07,-2.03457e-05,0.00137927,1.12894,0,0,0,0,9.68011
90,0.824516,0,2.35932,-0,6.05007e-08,0,0,0,0,0,0,0.713782,0.973088,-0.0248773,1.20706,0.943729,-0.139573,0.00137113,1.02444e-06,-3.38252e-05,0.00137155,1.12932,0,0,0,0,9.69577
91,0.837354,0,2.39687,-0,6.05161e-08,0,0,0,0,0,0,0.697426,0.973088,-0.0243935,1.19746,0.958749,-0.109533,0.00136313,3.84378e-06,-4.63514e-05,0.00136392,1.12971,0,0,0,0,9.71161
