"PointID","x","y"
175, 8.631799817090000e-01, 1.506203624552154e-02
176, 8.738499879840000e-01, 1.358949998795292e-02
177, 8.841500282290000e-01, 1.218028133639159e-02
178, 8.940600156780000e-01, 1.083259950157045e-02
179, 9.035800099370001e-01, 9.541724219894255e-03
180, 9.126999974250000e-01, 8.307606110271990e-03
181, 9.214000105860000e-01, 7.138977632059791e-03
182, 9.296900033950000e-01, 6.051016474357891e-03
183, 9.375399947170000e-01, 5.074061986971162e-03
184, 9.449599981310000e-01, 4.237321360075473e-03
185, 9.519400000570000e-01, 3.565882833007907e-03
186, 9.584699869160000e-01, 3.065620449603000e-03
187, 9.645400047300000e-01, 2.715308531157959e-03
188, 9.701499938960000e-01, 2.468283725906481e-03
189, 9.752799868580000e-01, 2.266477133487645e-03
190, 9.799500107769999e-01, 2.055876937680712e-03
191, 9.841300249100000e-01, 1.805623235250321e-03
192, 9.878399968150000e-01, 1.509024497003162e-03
193, 9.910500049590000e-01, 1.185428305349575e-03
194, 9.937800168990000e-01, 8.612976611742172e-04
195, 9.960200190539999e-01, 5.661496857854733e-04
196, 9.977599978450000e-01, 3.231000526439386e-04
197, 9.990000128750000e-01, 1.450702770578307e-04
198, 9.997500181200000e-01, 3.632605846514671e-05
199, 1.000000000000000e+00, 0.000000000000000e+00
