"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         169,      -9.150381742,       -8.88304236,      -9.380638651,      -9.634800706
          0,           0,         170,      -9.158573407,      -8.887963754,      -9.396221496,       -9.64517162
          0,           0,         171,      -9.166853552,      -8.892874511,      -9.411329885,      -9.655114548
          0,           0,         172,      -9.175430446,      -8.898042586,      -9.426070828,      -9.664845775
          0,           0,         173,      -9.184476295,      -8.903698855,      -9.440549045,      -9.674578565
          0,           0,         174,      -9.194125288,      -8.910034166,      -9.454865729,      -9.684514045
          0,           0,         175,      -9.204473445,      -8.917198203,      -9.469118396,      -9.694833011
          0,           0,         176,      -9.215579754,      -8.925299673,      -9.483400495,      -9.705688945
          0,           0,         177,      -9.227468212,       -8.93440751,      -9.497799696,      -9.717202436
          0,           0,         178,      -9.240130562,      -8.944552988,      -9.512394313,      -9.729457284
          0,           0,         179,      -9.253529836,      -8.955732761,      -9.527248126,      -9.742498711
          0,           0,         180,      -9.267605028,      -8.967912986,      -9.542404739,       -9.75633422
          0,           0,         181,      -9.282277361,      -8.981034693,      -9.557883259,      -9.770937549
          0,           0,         182,      -9.297458305,      -8.995020389,      -9.573677093,       -9.78625552
          0,           0,         183,      -9.313059008,      -9.009781636,      -9.589756876,      -9.802216884
          0,           0,         184,      -9.329000088,      -9.025226983,      -9.606077206,      -9.818741663
          0,           0,         185,      -9.345220323,      -9.041269483,      -9.622585665,      -9.835749544
          0,           0,         186,      -9.361682784,      -9.057833015,      -9.639232055,      -9.853166415
          0,           0,         187,       -9.37837747,      -9.074856867,      -9.655976037,      -9.870928853
          0,           0,         188,      -9.395320324,      -9.092298387,      -9.672792119,      -9.888986957
          0,           0,         189,      -9.412549237,      -9.110133846,       -9.68967179,      -9.907306001
          0,           0,         190,      -9.430118144,      -9.128357861,      -9.706623249,       -9.92586735
          0,           0,         191,      -9.448090416,      -9.146981779,      -9.723669471,      -9.944668776
          0,           0,         192,      -9.466532526,      -9.166031378,      -9.740845419,      -9.963724142
          0,           0,         193,       -9.48550864,      -9.185544116,      -9.758194977,        -9.9830623
          0,           0,         194,      -9.505076412,      -9.205566093,      -9.775768019,      -10.00272511
          0,           0,         195,      -9.525283962,      -9.226148774,      -9.793617727,      -10.02276453
          0,           0,         196,      -9.546167849,      -9.247345522,       -9.81179817,      -10.04323878
          0,           0,         197,       -9.56775179,      -9.269208023,      -9.830362094,      -10.06420799
          0,           0,         198,      -9.590045843,      -9.291782653,      -9.849358842,      -10.08572942
          0,           0,         199,       -9.61304591,      -9.315106944,      -9.868832409,      -10.10785274
          0,           0,         200,      -9.636733453,      -9.339206288,      -9.888819611,      -10.13061583
          0,           0,         201,      -9.661075481,      -9.364091083,      -9.909348401,      -10.15404114
          0,           0,         202,      -9.686024921,      -9.389754474,      -9.930436372,      -10.17813317
          0,           0,         203,      -9.711521558,      -9.416170907,      -9.952089516,      -10.20287701
          0,           0,         204,       -9.73749371,      -9.443295634,      -9.974301316,       -10.2282381
          0,           0,         205,      -9.763860775,      -9.471065318,      -9.997052299,      -10.25416319
