"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
62, 2.968699932100000e-01, -6.419232642648756e-02, 4.157555356636114e-01, -5.079343380248319e-01, 2.355002434967107e-02, 1.058000690194127e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.698084111810256e-02
63, 2.825500071050000e-01, -6.414462831308645e-02, 4.227278898067983e-01, -5.143999726057419e-01, 3.020792253703409e-02, 1.075244444292448e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.663155125811435e-02
64, 2.684499919410000e-01, -6.403285345333873e-02, 4.304322792243913e-01, -5.215660515682354e-01, 3.726518869491832e-02, 1.094842273291942e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.186364410456027e-02
65, 2.545700073240000e-01, -6.385406706320476e-02, 4.399662661971570e-01, -5.304506362592151e-01, 4.508552122788635e-02, 1.119384071661445e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.388371644230747e-02
66, 2.409400045870000e-01, -6.360534638661898e-02, 4.518442441526225e-01, -5.414988828185944e-01, 5.382540823216394e-02, 1.149875836926354e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.000387002852465e-02
67, 2.275699973110000e-01, -6.328331384691437e-02, 4.663366739968719e-01, -5.549695685938721e-01, 6.355771929636540e-02, 1.187009113820525e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.675271953734723e-02
68, 2.144699990750000e-01, -6.288428355645159e-02, 4.839048468384858e-01, -5.712534203016018e-01, 7.438496414168842e-02, 1.231808310642760e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.410262497712156e-02
69, 2.016600072380000e-01, -6.240470949321929e-02, 5.049215906830783e-01, -5.907241103871902e-01, 8.658031848887342e-02, 1.285627483173077e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.332333711435089e-02
70, 1.891400069000000e-01, -6.184014901447059e-02, 5.300140501021051e-01, -6.139093649172388e-01, 1.003395808197069e-01, 1.349653770603828e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.566069868583029e-02
71, 1.769299954180000e-01, -6.118682026046739e-02, 5.601068303817152e-01, -6.417070481053684e-01, 1.159853088680046e-01, 1.426738151801299e-01, 0.000000000000000e+00, 0.000000000000000e+00, -7.136354414050293e-02
72, 1.650400012730000e-01, -6.044050184441953e-02, 5.972955580797390e-01, -6.760298141361089e-01, 1.340880474967441e-01, 1.521641919228320e-01, 0.000000000000000e+00, 0.000000000000000e+00, -8.886700936862689e-02
73, 1.534900069240000e-01, -5.959769852816580e-02, 6.429813078611675e-01, -7.180869274996060e-01, 1.556550701675067e-01, 1.636831977575966e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.007804180874681e-01
74, 1.422899961470000e-01, -5.865447603514015e-02, 6.917060282376549e-01, -7.625114033344635e-01, 1.813997650068038e-01, 1.757029879090409e-01, 0.000000000000000e+00, 0.000000000000000e+00, -9.122442954558088e-02
